description
"rumah ini memiliki luas area sebesar 7420 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 13300000"
"rumah ini memiliki luas area sebesar 8960 meter persegi, 4 kamar tidur, dan 4 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 3 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 12250000"
"rumah ini memiliki luas area sebesar 9960 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 12250000"
"rumah ini memiliki luas area sebesar 7500 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 3 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 12215000"
"rumah ini memiliki luas area sebesar 7420 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 11410000"
"rumah ini memiliki luas area sebesar 7500 meter persegi, 3 kamar tidur, dan 3 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 10850000"
"rumah ini memiliki luas area sebesar 8580 meter persegi, 4 kamar tidur, dan 3 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 10150000"
"rumah ini memiliki luas area sebesar 16200 meter persegi, 5 kamar tidur, dan 3 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 10150000"
"rumah ini memiliki luas area sebesar 8100 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 9870000"
"rumah ini memiliki luas area sebesar 5750 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 9800000"
"rumah ini memiliki luas area sebesar 13200 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 9800000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 4 kamar tidur, dan 3 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 9681000"
"rumah ini memiliki luas area sebesar 6550 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 9310000"
